time,Q1,Q2,T1,T2,Tp
0,0,0,293.149,293.149,293.149
0.5,0,0,293.143,293.149,293.204
1,0,0,293.137,293.149,293.247
1.5,0,0,293.131,293.125,293.21
2,0,0,293.126,293.105,293.182
2.5,0,0,293.124,293.077,293.193
3,0,0,293.121,293.055,293.202
3.5,0,0,293.085,293.086,293.224
4,0,0,293.055,293.11,293.242
4.5,0,0,293.06,293.101,293.198
5,0,0,293.064,293.093,293.164
5.5,0,0,293.079,293.114,293.149
6,0,0,293.09,293.13,293.138
6.5,0,0,293.088,293.109,293.115
7,0,0,293.086,293.092,293.096
7.5,0,0,293.104,293.08,293.115
8,0,0,293.118,293.07,293.131
8.5,0,0,293.112,293.088,293.162
9,0,0,293.105,293.102,293.186
9.5,0,0,293.125,293.08,293.17
10,0,0,293.14,293.063,293.157
10.5,0,0,293.146,293.063,293.123
11,0,0,293.149,293.063,293.096
11.5,0,0,293.157,293.076,293.076
12,0,0,293.163,293.086,293.062
12.5,0,0,293.138,293.081,293.059
13,0,0,293.119,293.077,293.057
13.5,0,0,293.097,293.058,293.112
14,0,0,293.079,293.042,293.154
14.5,0,0,293.071,293.057,293.163
15,0,0,293.065,293.069,293.17
15.5,0,0,293.132,293.096,293.177
16,0,0,293.184,293.116,293.182
16.5,0,0,293.176,293.134,293.163
17,0,0,293.169,293.147,293.148
17.5,0,0,293.138,293.175,293.118
18,0,0,293.114,293.197,293.094
18.5,0,0,293.11,293.176,293.124
19,0,0,293.108,293.16,293.146
19.5,0,0,293.121,293.165,293.175
20,0,0,293.132,293.169,293.197
20.5,0,0,293.126,293.105,293.137
21,0,0,293.121,293.055,293.09
21.5,0,0,293.113,293.101,293.113
22,0,0,293.105,293.135,293.131
22.5,0,0,293.113,293.087,293.123
23,0,0,293.119,293.049,293.116
23.5,0,0,293.114,293.04,293.116
24,0,0,293.11,293.031,293.116
24.5,0,0,293.107,293.052,293.118
25,0,0,293.103,293.066,293.118
25.5,0,0,293.06,293.073,293.093
26,0,0,293.026,293.076,293.075
26.5,0,0,293.024,293.098,293.107
27,0,0,293.021,293.116,293.131
27.5,0,0,293.086,293.116,293.132
28,0,0,293.136,293.118,293.134
28.5,0,0,293.108,293.127,293.152
29,0,0,293.086,293.135,293.167
29.5,0,0,293.092,293.094,293.16
30,0,0,293.097,293.063,293.157
30.5,0,0,293.083,293.092,293.151
31,0,0,293.074,293.115,293.147
31.5,0,0,293.083,293.063,293.164
32,0,0,293.092,293.021,293.179
32.5,0,0,293.105,293.073,293.173
33,0,0,293.116,293.114,293.168
33.5,0,0,293.104,293.141,293.156
34,0,0,293.094,293.162,293.145
34.5,0,0,293.107,293.138,293.12
35,0,0,293.116,293.12,293.101
35.5,0,0,293.118,293.098,293.103
36,0,0,293.119,293.08,293.105
36.5,0,0,293.091,293.097,293.141
37,0,0,293.069,293.11,293.169
37.5,0,0,293.036,293.138,293.165
38,0,0,293.009,293.16,293.163
38.5,0,0,293.027,293.127,293.153
39,0,0,293.042,293.102,293.146
39.5,0,0,293.026,293.046,293.143
40,0,0,293.014,293.002,293.142
40.5,0,0,293.044,293.025,293.132
41,0,0,293.069,293.044,293.126
41.5,0,0,293.081,293.054,293.115
42,0,0,293.091,293.062,293.107
42.5,0,0,293.062,293.079,293.137
43,0,0,293.038,293.092,293.162
43.5,0,0,293.054,293.11,293.121
44,0,0,293.066,293.125,293.091
44.5,0,0,293.075,293.104,293.081
45,0,0,293.082,293.087,293.074
45.5,0,0,293.07,293.105,293.07
46,0,0,293.059,293.119,293.068
46.5,0,0,293.051,293.116,293.053
47,0,0,293.044,293.114,293.041
47.5,0,0,293.044,293.136,293.075
48,0,0,293.046,293.153,293.102
48.5,0,0,293.042,293.136,293.105
49,0,0,293.04,293.123,293.108
49.5,0,0,293.005,293.103,293.092
50,0,0,292.979,293.088,293.08
50.5,0,0,293.01,293.118,293.083
51,0,0,293.035,293.141,293.087
51.5,0,0,293.054,293.14,293.098
52,0,0,293.068,293.14,293.107
52.5,0,0,293.076,293.134,293.069
53,0,0,293.082,293.13,293.038
53.5,0,0,293.123,293.126,293.073
54,0,0,293.153,293.124,293.098
54.5,0,0,293.17,293.129,293.097
55,0,0,293.184,293.134,293.096
55.5,0,0,293.167,293.152,293.068
56,0,0,293.152,293.167,293.044
56.5,0,0,293.181,293.176,293.049
57,0,0,293.204,293.182,293.053
57.5,0,0,293.158,293.141,293.054
58,0,0,293.123,293.109,293.055
58.5,0,0,293.149,293.138,293.099
59,0,0,293.17,293.16,293.135
59.5,0,0,293.171,293.158,293.137
60,0,0,293.173,293.157,293.14
60.5,0,0,293.142,293.13,293.108
61,0,0,293.119,293.109,293.083
61.5,0,0,293.107,293.116,293.085
62,0,0,293.097,293.121,293.086
62.5,0,0,293.129,293.113,293.069
63,0,0,293.153,293.105,293.055
63.5,0,0,293.154,293.108,293.065
64,0,0,293.156,293.11,293.074
64.5,0,0,293.127,293.137,293.073
65,0,0,293.107,293.159,293.073
65.5,0,0,293.096,293.188,293.059
66,0,0,293.087,293.21,293.048
66.5,0,0,293.11,293.18,293.055
67,0,0,293.129,293.157,293.062
67.5,0,0,293.114,293.107,293.069
68,0,0,293.103,293.066,293.074
68.5,0,0,293.096,293.07,293.097
69,0,0,293.09,293.073,293.115
69.5,0,0,293.092,293.083,293.135
70,0,0,293.094,293.093,293.151
70.5,0,0,293.082,293.109,293.146
71,0,0,293.074,293.121,293.142
71.5,0,0,293.074,293.137,293.136
72,0,0,293.075,293.151,293.131
72.5,0,0,293.087,293.143,293.158
73,0,0,293.097,293.138,293.18
73.5,0,0,293.094,293.135,293.169
74,0,0,293.093,293.134,293.16
74.5,0,0,293.075,293.146,293.148
75,0,0,293.062,293.156,293.138
75.5,0,0,293.107,293.173,293.119
76,0,0,293.142,293.186,293.103
76.5,0,0,293.13,293.19,293.064
77,0,0,293.121,293.193,293.032
77.5,0,0,293.086,293.187,293.079
78,0,0,293.059,293.182,293.114
78.5,0,0,293.049,293.203,293.112
79,0,0,293.042,293.219,293.109
79.5,0,0,293.025,293.197,293.077
80,0,0,293.011,293.181,293.052
80.5,0,0,293.033,293.175,293.041
81,0,0,293.051,293.171,293.032
81.5,0,0,293.064,293.13,293.026
82,0,0,293.075,293.098,293.021
82.5,0,0,293.109,293.094,293.059
83,0,0,293.135,293.091,293.088
83.5,0,0,293.165,293.076,293.088
84,0,0,293.19,293.064,293.088
84.5,0,0,293.165,293.087,293.115
85,0,0,293.146,293.105,293.136
85.5,0,0,293.137,293.115,293.086
86,0,0,293.13,293.123,293.047
86.5,0,0,293.097,293.101,293.082
87,0,0,293.073,293.083,293.11
87.5,0,0,293.07,293.097,293.096
88,0,0,293.068,293.107,293.083
88.5,0,0,293.071,293.087,293.047
89,0,0,293.074,293.073,293.018
89.5,0,0,293.051,293.096,293.033
90,0,0,293.032,293.114,293.046
90.5,0,0,293.094,293.097,293.093
91,0,0,293.143,293.083,293.13
91.5,0,0,293.141,293.105,293.148
92,0,0,293.138,293.123,293.162
92.5,0,0,293.143,293.124,293.145
93,0,0,293.146,293.124,293.132
93.5,0,0,293.09,293.129,293.131
94,0,0,293.046,293.132,293.131
94.5,0,0,293.027,293.12,293.098
95,0,0,293.014,293.109,293.071
95.5,0,0,293.062,293.119,293.066
96,0,0,293.098,293.126,293.063
96.5,0,0,293.135,293.082,293.054
97,0,0,293.162,293.048,293.048
97.5,0,0,293.167,293.048,293.057
98,0,0,293.169,293.048,293.063
98.5,0,0,293.192,293.037,293.032
99,0,0,293.209,293.027,293.009
99.5,0,0,293.228,293.047,293.04
100,0,0,293.241,293.063,293.063
100.5,0,0,293.267,293.082,293.115
101,0,0,293.287,293.097,293.156
101.5,0,0,293.199,293.07,293.163
102,0,0,293.131,293.049,293.168
102.5,0,0,293.108,293.044,293.154
103,0,0,293.09,293.04,293.143
103.5,0,0,293.096,293.108,293.16
104,0,0,293.101,293.16,293.173
104.5,0,0,293.119,293.131,293.174
105,0,0,293.132,293.108,293.174
105.5,0,0,293.109,293.088,293.171
106,0,0,293.091,293.073,293.169
106.5,0,0,293.068,293.063,293.143
107,0,0,293.051,293.055,293.125
107.5,0,0,293.068,293.055,293.085
108,0,0,293.081,293.057,293.053
108.5,0,0,293.114,293.046,293.059
109,0,0,293.141,293.037,293.064
109.5,0,0,293.17,293.051,293.06
110,0,0,293.193,293.063,293.057
110.5,0,0,293.185,293.053,293.035
111,0,0,293.18,293.046,293.019
111.5,0,0,293.167,293.091,293.092
112,0,0,293.157,293.125,293.149
112.5,0,0,293.169,293.123,293.098
113,0,0,293.179,293.123,293.058
113.5,0,0,293.137,293.109,293.073
114,0,0,293.105,293.098,293.085
114.5,0,0,293.115,293.075,293.114
115,0,0,293.123,293.057,293.137
115.5,0,0,293.104,293.077,293.119
116,0,0,293.09,293.093,293.103
116.5,0,0,293.03,293.11,293.124
117,0,0,292.982,293.124,293.138
117.5,0,0,293.005,293.147,293.141
118,0,0,293.024,293.165,293.143
118.5,0,0,293.06,293.157,293.129
119,0,0,293.088,293.149,293.118
119.5,0,0,293.107,293.137,293.105
120,0,0,293.121,293.129,293.096
120.5,0,0,293.11,293.091,293.108
121,0,0,293.101,293.062,293.116
121.5,0,0,293.088,293.073,293.103
122,0,0,293.077,293.081,293.092
122.5,0,0,293.086,293.075,293.096
123,0,0,293.093,293.07,293.101
123.5,0,0,293.107,293.087,293.157
124,0,0,293.118,293.101,293.201
124.5,0,0,293.129,293.088,293.19
125,0,0,293.137,293.079,293.18
125.5,0,0,293.112,293.075,293.146
126,0,0,293.091,293.071,293.12
126.5,0,0,293.107,293.071,293.127
127,0,0,293.119,293.071,293.134
127.5,0,0,293.131,293.09,293.12
128,0,0,293.141,293.104,293.108
128.5,0,0,293.08,293.052,293.101
129,0,0,293.032,293.01,293.093
129.5,0,0,293.076,293.018,293.063
130,0,0,293.11,293.024,293.04
130.5,0,0,293.14,293.042,293.101
131,0,0,293.163,293.055,293.147
131.5,0,0,293.145,293.087,293.136
132,0,0,293.13,293.112,293.127
132.5,0,0,293.092,293.088,293.145
133,0,0,293.062,293.07,293.158
133.5,0,0,293.083,293.064,293.162
134,0,0,293.099,293.059,293.164
134.5,0,0,293.125,293.036,293.148
135,0,0,293.145,293.018,293.136
135.5,0,0,293.13,293.011,293.129
136,0,0,293.118,293.007,293.123
136.5,0,0,293.101,293.035,293.136
137,0,0,293.088,293.058,293.147
137.5,0,0,293.105,293.085,293.103
138,0,0,293.12,293.104,293.07
138.5,0,0,293.146,293.092,293.015
139,0,0,293.167,293.082,292.974
139.5,0,0,293.164,293.093,292.979
140,0,0,293.163,293.102,292.981
140.5,0,0,293.147,293.105,293.014
141,0,0,293.135,293.108,293.038
141.5,0,0,293.14,293.115,293.049
142,0,0,293.143,293.121,293.058
142.5,0,0,293.127,293.092,293.086
143,0,0,293.114,293.069,293.108
143.5,0,0,293.136,293.088,293.103
144,0,0,293.153,293.104,293.098
144.5,0,0,293.113,293.058,293.076
145,0,0,293.081,293.021,293.059
145.5,0,0,293.083,293.064,293.051
146,0,0,293.086,293.097,293.046
146.5,0,0,293.076,293.085,293.069
147,0,0,293.068,293.075,293.087
147.5,0,0,293.12,293.108,293.101
148,0,0,293.162,293.134,293.112
148.5,0,0,293.146,293.127,293.131
149,0,0,293.134,293.123,293.146
149.5,0,0,293.143,293.097,293.093
150,0,0,293.151,293.077,293.052
150.5,0,0,293.167,293.075,293.09
151,0,0,293.179,293.073,293.118
151.5,0,0,293.19,293.073,293.082
152,0,0,293.198,293.073,293.054
152.5,0,0,293.162,293.101,293.064
153,0,0,293.134,293.121,293.073
153.5,0,0,293.143,293.118,293.063
154,0,0,293.152,293.114,293.057
154.5,0,0,293.142,293.104,293.074
155,0,0,293.135,293.096,293.087
155.5,0,0,293.152,293.092,293.071
156,0,0,293.164,293.09,293.059
156.5,0,0,293.12,293.113,293.06
157,0,0,293.085,293.131,293.062
157.5,0,0,293.121,293.113,293.074
158,0,0,293.149,293.098,293.082
158.5,0,0,293.138,293.083,293.083
159,0,0,293.131,293.071,293.085
159.5,0,0,293.096,293.075,293.099
160,0,0,293.069,293.077,293.11
160.5,0,0,293.075,293.088,293.114
161,0,0,293.079,293.097,293.118
161.5,0,0,293.079,293.093,293.096
162,0,0,293.079,293.091,293.079
162.5,0,0,293.086,293.079,293.098
163,0,0,293.092,293.069,293.114
163.5,0,0,293.143,293.055,293.099
164,0,0,293.185,293.046,293.088
164.5,0,0,293.184,293.043,293.115
165,0,0,293.184,293.04,293.137
165.5,0,0,293.14,293.047,293.121
166,0,0,293.104,293.052,293.108
166.5,0,0,293.105,293.099,293.079
167,0,0,293.105,293.135,293.055
167.5,0,0,293.101,293.13,293.064
168,0,0,293.097,293.125,293.071
168.5,0,0,293.082,293.099,293.073
169,0,0,293.07,293.08,293.074
169.5,0,0,293.047,293.097,293.129
170,0,0,293.03,293.109,293.171
170.5,0,0,293.06,293.098,293.188
171,0,0,293.083,293.091,293.202
171.5,0,0,293.116,293.081,293.173
172,0,0,293.141,293.074,293.151
172.5,0,0,293.141,293.09,293.151
173,0,0,293.141,293.103,293.151
173.5,0,0,293.127,293.085,293.131
174,0,0,293.118,293.071,293.116
174.5,0,0,293.124,293.087,293.113
175,0,0,293.129,293.099,293.112
175.5,0,0,293.129,293.058,293.091
176,0,0,293.129,293.025,293.075
176.5,0,0,293.113,293.073,293.103
177,0,0,293.101,293.109,293.125
